Tarih;Saat;Tüketim Miktar?(MWh)
21.06.2025;17:00;44.105,39
21.06.2025;18:00;44.100,62
21.06.2025;19:00;43.644,65
21.06.2025;20:00;44.572,81
21.06.2025;21:00;44.511,26
21.06.2025;22:00;42.735,18
21.06.2025;23:00;40.661,45
22.06.2025;00:00;37.960,15
22.06.2025;01:00;36.375,08
22.06.2025;02:00;34.702,38
22.06.2025;03:00;33.725,71
22.06.2025;04:00;32.881,41
22.06.2025;05:00;31.488,41
22.06.2025;06:00;30.349,54
22.06.2025;07:00;31.049,06
22.06.2025;08:00;32.624,03
22.06.2025;09:00;34.617,21
22.06.2025;10:00;36.438,15
22.06.2025;11:00;37.559,24
22.06.2025;12:00;37.802,50
22.06.2025;13:00;38.532,80
22.06.2025;14:00;38.773,82
22.06.2025;15:00;38.695,64
22.06.2025;16:00;38.276,10
22.06.2025;17:00;38.685,16
22.06.2025;18:00;38.938,16
22.06.2025;19:00;39.395,80
22.06.2025;20:00;40.979,96
22.06.2025;21:00;40.981,51
22.06.2025;22:00;39.885,12
22.06.2025;23:00;38.228,19
23.06.2025;00:00;36.639,38
23.06.2025;01:00;34.891,97
23.06.2025;02:00;33.556,09
23.06.2025;03:00;32.654,94
23.06.2025;04:00;32.173,24
23.06.2025;05:00;31.239,60
23.06.2025;06:00;31.421,26
23.06.2025;07:00;34.036,91
23.06.2025;08:00;40.599,81
23.06.2025;09:00;43.816,10
23.06.2025;10:00;45.513,68
23.06.2025;11:00;46.633,47
23.06.2025;12:00;45.684,86
23.06.2025;13:00;47.087,74
23.06.2025;14:00;48.455,94
23.06.2025;15:00;48.314,56
23.06.2025;16:00;48.371,46
23.06.2025;17:00;47.670,17
23.06.2025;18:00;46.431,92
23.06.2025;19:00;46.062,02
23.06.2025;20:00;46.955,44
23.06.2025;21:00;46.871,22
23.06.2025;22:00;45.179,64
23.06.2025;23:00;43.221,89
24.06.2025;00:00;40.619,40
24.06.2025;01:00;38.624,35
24.06.2025;02:00;37.031,17
24.06.2025;03:00;35.948,25
24.06.2025;04:00;35.462,15
24.06.2025;05:00;34.352,24
24.06.2025;06:00;34.024,37
24.06.2025;07:00;35.985,46
24.06.2025;08:00;41.419,28
24.06.2025;09:00;44.866,19
24.06.2025;10:00;46.513,97
24.06.2025;11:00;47.816,43
24.06.2025;12:00;46.792,08
24.06.2025;13:00;48.148,06
24.06.2025;14:00;49.302,34
24.06.2025;15:00;49.054,47
24.06.2025;16:00;48.917,80
24.06.2025;17:00;48.382,05
24.06.2025;18:00;46.865,40
24.06.2025;19:00;46.538,48
24.06.2025;20:00;47.403,80
24.06.2025;21:00;47.573,13
24.06.2025;22:00;45.891,55
24.06.2025;23:00;43.956,19
25.06.2025;00:00;41.573,69
25.06.2025;01:00;39.387,92
25.06.2025;02:00;37.834,69
25.06.2025;03:00;36.579,89
25.06.2025;04:00;36.038,40
25.06.2025;05:00;34.911,16
25.06.2025;06:00;34.551,00
25.06.2025;07:00;36.631,93
25.06.2025;08:00;42.511,19
25.06.2025;09:00;45.983,78
25.06.2025;10:00;47.842,33
25.06.2025;11:00;49.347,77
25.06.2025;12:00;48.012,63
25.06.2025;13:00;49.420,38
25.06.2025;14:00;50.720,60
25.06.2025;15:00;50.772,07
25.06.2025;16:00;50.576,59
25.06.2025;17:00;49.783,58
25.06.2025;18:00;48.096,13
25.06.2025;19:00;47.917,66
25.06.2025;20:00;48.854,44
25.06.2025;21:00;48.851,50
25.06.2025;22:00;47.052,48
25.06.2025;23:00;44.987,41
26.06.2025;00:00;42.424,07
26.06.2025;01:00;40.328,36
26.06.2025;02:00;38.592,17
26.06.2025;03:00;37.395,79
26.06.2025;04:00;36.896,84
26.06.2025;05:00;35.750,01
26.06.2025;06:00;35.580,67
26.06.2025;07:00;37.565,96
26.06.2025;08:00;43.358,18
26.06.2025;09:00;46.884,75
26.06.2025;10:00;48.425,37
26.06.2025;11:00;49.849,28
26.06.2025;12:00;49.563,52
26.06.2025;13:00;51.047,06
26.06.2025;14:00;52.407,02
26.06.2025;15:00;52.118,57
26.06.2025;16:00;51.831,42
26.06.2025;17:00;50.978,68
26.06.2025;18:00;49.624,29
26.06.2025;19:00;49.292,47
26.06.2025;20:00;50.218,48
